L486	147	93.5	80.5	78.1
L487	148.6	94.5	80.2	79.4
L488	141.6	91.8	80.5	77.7
L489	144	96.1	79.1	80.6
L490	140.5	93.1	77.7	74.8
L491	146.5	92.7	82.7	77.9
L492	146.8	92.2	84.3	77.9
L493.1	136.2	101.3	159.9	75.9
L493.2	154.9	105.1	124.8	85.4
L494	102	96.4	132	83.6
L495.1	139.7	101.1	164.5	75.7
L495.2	152.2	105.3	98.6	84.5
L496	147.5	99.6	153	89.1
L497.1	136.8	102.9	168.1	80.3
L497.2	153.8	103.2	96.7	84.3
L498.1	136.4	103.2	167.2	78.4
L498.2	160.1	102.2	134.1	84.8
L499	150.9	107.8	173.2	84.6
L500.1	163.5	108.5	160.8	87.2
L500.2	158	111.4	182.5	81.2
L501.2	131	101.7	165.4	77.3
L501.3	158.7	103.6	142.2	86
L501.4	94.7	94.3	148.8	71.6
L502.2	172.3	107.7	149.4	88
L503.1	163.7	113.2	101.7	88
L503.2	149.2	107.8	177.3	82.4
L504	94.3	95	123.2	83.6
L505	103.9	107.3	183	79.7
L506.1	149	106.3	174.6	79.5
L506.2	166.5	108.9	98.7	86.1
L506.3	146.1	107.2	180.4	80.8
L507.1	161.3	111.2	100.2	87.5
L507.2	146.6	111.9	180.2	79.6
L508	155	100.9	96.6	83.7
L509.1	134.7	105.9	169.3	78.7
L509.2	153.1	104.1	114.4	82.6
L509.3	99	97.8	152.7	78.3
L510	100.9	98.8	144.4	79.9
L511	101.8	98.7	142.1	81.7
L512	111.3	94	108.1	94.7
L513.1	163.6	108.9	100.9	87.2
L513.2	149	107.1	178.3	79.5
L514.1	99.7	103	169.5	78.5
L514.2	156.4	107.2	156.8	83.8
L515.1	140.4	101.9	163.5	78.3
L515.2	156.7	104	97.9	84
L516.1	164	110	101.6	87.5
L516.2	144.4	108.6	176.6	80.4
L517.1	145.3	101.8	171.5	79.3
L517.2	158.7	104.9	98.1	84.8
L518.1	122.9	102.4	165.1	75.3
L518.2	151.5	101.5	100.6	81.6
L519.1	154.8	103.3	98.4	82.1
